Name of Project,Business Unit,Project Design Level,No of Levels,GSF,SOG,Metal Deck,Concrete,Structural Steel-MT,Concrete Coefficient (cft/sft),Structural Steel,SOG Coeff,Metal Deck Coeff
5051 Centre Ave 65% CD,Pittsburgh,CD,8.00,173215.00,17678.00,142145.00,157626.00,663.00,0.91,3.83,0.10,0.82
QTS Shellhorn,Mid-Atlantic,DD,2.00,305582.00,154002.00,304689.00,2304423.00,2801.00,7.54,9.17,0.50,1.00
NCH RB 4 Hospital,Ohio,DD,9.00,311739.00,30075.00,27625.00,283682.00,1194.00,0.91,3.83,0.10,0.09
Hall Of Fame - Center of Performance ,Ohio,DD,1.00,85311.00,8469.00,8820.00,77633.00,327.00,0.91,3.83,0.10,0.10
Widener Health Sciences,Philadelphia,SD,3.00,132235.00,13311.00,108515.00,120334.00,506.00,0.91,3.83,0.10,0.82
Deloitte GreenhouseX (GHX),Houston,DD,1.00,14500.00,1470.00,11899.00,13195.00,56.00,0.91,3.83,0.10,0.82
Kent State College of Business,Cleveland,CD,4.00,165618.00,48234.00,157976.00,74709.00,1797.00,0.45,10.85,0.29,0.95
PITT CUB,Pittsburgh,SD,4.00,50959.00,20323.00,35922.00,513387.00,318.00,10.07,6.23,0.40,0.70
Columbus Metropolitan Library - Gahana Branch,Columbus,DD,2.00,35123.00,3572.00,28823.00,31962.00,135.00,0.91,3.83,0.10,0.82
Hall Of Fame -Water Park,Ohio,DD,3.00,164687.00,107873.00,128557.00,178260.00,680.00,1.08,4.13,0.66,0.78
Hall Of Fame - Hotel building,Ohio,DD,7.00,154595.00,28629.00,102978.00,181945.00,724.00,1.18,4.68,0.19,0.67
Union Row - Garage Building ,Dallas,SD,8.00,386341.00,58525.00,45648.00,380802.00,1480.00,0.99,3.83,0.15,0.82
Union Row - Building B1,Dallas,SD,8.00,305373.00,38198.00,198618.00,19413.00,1476.00,0.06,4.83,0.13,0.65
Union Row - Building B2 ,Dallas,SD,8.00,86492.00,10843.00,54094.00,34312.00,408.00,0.40,4.72,0.13,0.63
Union Row - Building D,Dallas,SD,8.00,90598.00,12395.00,74347.00,6318.00,560.00,0.07,6.18,0.14,0.82
Union Row - Building E,Dallas,SD,8.00,184069.00,25769.00,154431.00,19926.00,1159.00,0.11,6.30,0.14,0.84
Union Row - Building G ,Dallas,SD,8.00,878949.00,70064.00,354907.00,798538.00,2664.00,0.91,3.03,0.08,0.40
OSU Inpatient Tower DD takeoffs,Ohio,DD,30.00,1792538.00,182634.00,1471003.00,1631210.00,6865.00,0.91,3.83,0.10,0.82
Wexford Drexel research Tower,Philadelphia,DD,12.00,362450.00,36960.00,297436.00,169918.00,2593.00,0.47,7.15,0.10,0.82
Horton - Park café,Sandeigo,DD,1.00,4334.00,442.00,3557.00,1620.00,13.00,0.37,3.00,0.10,0.82
Hortan Plaza - Bradley building,San Diego,DD,3.00,10323.00,2851.00,1983.00,1566.00,44.00,0.15,4.26,0.28,0.82
Horton plaza redevelopment Building A,San Diego,DD,12.00,375895.00,38364.00,265859.00,138016.00,1518.00,0.37,4.04,0.10,0.71
Mariemont High School,Ohio,DD,2.00,158841.00,16208.00,130349.00,144546.00,608.00,0.91,3.83,0.10,0.82
One lake Wood,Ohio,SD,7.00,262438.00,54238.00,216279.00,38172.00,1005.00,0.15,3.83,0.21,0.82
FC MLS Stadium,Ohio,CD,7.00,504593.00,51493.00,414082.00,459180.00,8277.00,0.91,16.40,0.10,0.82
Easton Hotels,Ohio,SD,13.00,383051.00,39092.00,314342.00,348576.00,1467.00,0.91,3.83,0.10,0.82
Server farm,Canada,DD,1.00,79092.00,8072.00,64905.00,13176.00,27.00,0.17,0.34,0.10,0.82
